Report_ID,Animal_Type,Breed,Age,Gender,Health_Status,Location,Reported_Date,Rescue_Status
53,Dog,German Shepherd,13,Female,Critical,Kandy,2026-05-05,Pending
54,Cat,British Shorthair,8,Female,Critical,Galle,2026-03-30,Under Treatment
55,Cat,Persian,15,Male,Healthy,Anuradhapura,2026-03-01,Under Treatment
56,Dog,German Shepherd,5,Female,Sick,Kurunegala,2026-05-31,Released
57,Cat,Siamese,9,Female,Critical,Colombo,2026-06-24,Under Treatment
58,Cat,Persian,15,Male,Injured,Colombo,2026-01-04,Rescued
59,Dog,Rottweiler,13,Female,Sick,Anuradhapura,2026-03-04,Pending
60,Cat,Mixed Breed,15,Female,Healthy,Galle,2026-06-14,Pending
61,Cat,Mixed Breed,3,Male,Healthy,Negombo,2026-04-07,Rescued
62,Cat,British Shorthair,13,Male,Healthy,Galle,2026-02-08,Rescued
63,Cat,Domestic Short Hair,14,Male,Critical,Kandy,2026-03-28,Pending
64,Dog,Mixed Breed,2,Female,Healthy,Negombo,2026-06-02,Rescued
65,Cat,Mixed Breed,8,Female,Critical,Kurunegala,2026-06-27,Released
66,Cat,British Shorthair,7,Female,Critical,Galle,2026-04-06,Rescued
67,Dog,Mixed Breed,11,Male,Sick,Kandy,2026-01-29,Under Treatment
68,Dog,German Shepherd,3,Female,Sick,Ratnapura,2026-03-11,Rescued
69,Cat,Persian,9,Male,Sick,Anuradhapura,2026-05-07,Rescued
70,Dog,Labrador,5,Female,Injured,Ratnapura,2026-05-29,Released
71,Dog,Golden Retriever,14,Male,Injured,Matara,2026-04-29,Rescued
72,Dog,Mixed Breed,6,Female,Injured,Anuradhapura,2026-01-25,Under Treatment
73,Dog,Rottweiler,12,Female,Sick,Matara,2026-01-31,Released
74,Cat,Persian,3,Female,Injured,Matara,2026-04-13,Rescued
75,Cat,Siamese,10,Male,Critical,Galle,2026-06-08,Pending
76,Dog,Rottweiler,7,Female,Healthy,Batticaloa,2026-05-17,Released
77,Dog,Labrador,4,Female,Critical,Ratnapura,2026-03-10,Under Treatment
78,Cat,British Shorthair,3,Female,Critical,Galle,2026-01-08,Under Treatment
79,Cat,Mixed Breed,5,Female,Critical,Kurunegala,2026-04-14,Pending
80,Cat,Mixed Breed,7,Male,Healthy,Jaffna,2026-04-09,Under Treatment
81,Dog,Husky,7,Male,Healthy,Kurunegala,2026-02-02,Rescued
82,Cat,Persian,6,Male,Healthy,Galle,2026-06-20,Released
83,Dog,Beagle,7,Female,Injured,Batticaloa,2026-01-08,Released
84,Dog,Beagle,14,Female,Healthy,Anuradhapura,2026-06-01,Pending
85,Cat,Persian,10,Female,Critical,Batticaloa,2026-01-31,Under Treatment
86,Cat,Domestic Short Hair,15,Female,Critical,Anuradhapura,2026-01-12,Pending
87,Dog,German Shepherd,10,Male,Critical,Colombo,2026-04-16,Pending
88,Dog,Husky,11,Male,Injured,Anuradhapura,2026-02-27,Rescued
89,Cat,Domestic Short Hair,4,Female,Injured,Kandy,2026-03-22,Rescued
90,Dog,Labrador,9,Male,Injured,Kandy,2026-03-25,Released
91,Cat,Domestic Short Hair,10,Male,Sick,Kurunegala,2026-03-23,Pending
92,Cat,Mixed Breed,15,Female,Healthy,Colombo,2026-05-21,Under Treatment
93,Cat,British Shorthair,11,Female,Healthy,Negombo,2026-05-15,Released
94,Dog,German Shepherd,1,Male,Injured,Kurunegala,2026-04-17,Pending
95,Dog,Golden Retriever,12,Male,Sick,Matara,2026-02-17,Rescued
96,Cat,Mixed Breed,3,Female,Sick,Galle,2026-02-08,Released
97,Dog,Rottweiler,12,Female,Healthy,Galle,2026-01-31,Rescued
98,Cat,Siamese,1,Female,Sick,Batticaloa,2026-06-09,Released
99,Dog,German Shepherd,5,Male,Critical,Colombo,2026-01-10,Pending
100,Cat,Domestic Short Hair,10,Female,Sick,Colombo,2026-02-18,Under Treatment
101,Dog,Labrador,7,Female,Injured,Jaffna,2026-02-05,Released
102,Cat,Mixed Breed,12,Male,Sick,Negombo,2026-02-20,Under Treatment
103,Cat,Mixed Breed,2,Female,Injured,Matara,2026-02-10,Under Treatment
104,Dog,Labrador,7,Female,Sick,Colombo,2026-02-07,Pending
105,Cat,Mixed Breed,3,Male,Injured,Anuradhapura,2026-01-07,Pending
106,Dog,Golden Retriever,7,Female,Critical,Anuradhapura,2026-02-15,Under Treatment
107,Dog,German Shepherd,7,Male,Healthy,Negombo,2026-04-17,Under Treatment
108,Cat,Domestic Short Hair,11,Female,Sick,Batticaloa,2026-02-06,Under Treatment
109,Cat,Mixed Breed,11,Female,Healthy,Anuradhapura,2026-06-14,Pending
110,Dog,Rottweiler,2,Male,Healthy,Jaffna,2026-03-24,Pending
111,Dog,Rottweiler,2,Female,Injured,Kandy,2026-05-10,Released
112,Cat,Mixed Breed,7,Male,Critical,Negombo,2026-02-20,Pending
113,Dog,Golden Retriever,15,Female,Injured,Matara,2026-05-23,Rescued
114,Cat,Persian,5,Female,Critical,Galle,2026-04-29,Rescued
115,Cat,Siamese,10,Female,Healthy,Kandy,2026-01-06,Rescued
116,Dog,German Shepherd,11,Male,Injured,Kurunegala,2026-05-25,Released
117,Dog,Golden Retriever,6,Male,Sick,Matara,2026-05-14,Released
118,Cat,Mixed Breed,13,Male,Critical,Kurunegala,2026-03-12,Under Treatment
119,Dog,German Shepherd,15,Male,Injured,Jaffna,2026-06-26,Released
120,Cat,Domestic Short Hair,8,Male,Healthy,Matara,2026-01-02,Released
121,Dog,Beagle,12,Male,Critical,Kandy,2026-01-23,Pending
122,Cat,British Shorthair,10,Male,Sick,Ratnapura,2026-06-23,Rescued
123,Cat,British Shorthair,1,Female,Critical,Negombo,2026-02-08,Released
124,Cat,British Shorthair,4,Female,Healthy,Kurunegala,2026-03-13,Pending
125,Dog,Labrador,11,Male,Critical,Kandy,2026-02-22,Pending
126,Dog,Rottweiler,4,Male,Healthy,Negombo,2026-03-28,Under Treatment
127,Dog,Beagle,4,Male,Healthy,Kandy,2026-03-06,Under Treatment
128,Dog,Mixed Breed,8,Male,Injured,Batticaloa,2026-01-26,Released
129,Dog,Beagle,5,Female,Injured,Anuradhapura,2026-02-26,Pending
130,Dog,Husky,9,Male,Injured,Negombo,2026-02-15,Released
131,Cat,Siamese,15,Male,Healthy,Anuradhapura,2026-02-21,Under Treatment
132,Cat,Persian,15,Female,Sick,Kandy,2026-02-12,Under Treatment
133,Cat,British Shorthair,15,Female,Sick,Colombo,2026-03-12,Pending
134,Dog,Rottweiler,3,Female,Sick,Negombo,2026-04-02,Pending
135,Cat,Domestic Short Hair,12,Male,Critical,Jaffna,2026-05-02,Rescued
136,Dog,Husky,5,Female,Healthy,Galle,2026-03-06,Released
137,Cat,British Shorthair,9,Female,Sick,Ratnapura,2026-04-12,Rescued
138,Dog,Rottweiler,11,Male,Critical,Anuradhapura,2026-02-17,Rescued
139,Cat,Siamese,3,Male,Injured,Negombo,2026-01-14,Released
140,Cat,Persian,12,Female,Healthy,Colombo,2026-06-30,Released
141,Dog,Husky,14,Female,Sick,Kurunegala,2026-02-22,Pending
142,Dog,Rottweiler,10,Female,Injured,Negombo,2026-06-23,Under Treatment
143,Dog,Labrador,7,Male,Sick,Galle,2026-03-11,Released
144,Dog,Mixed Breed,13,Female,Sick,Matara,2026-06-07,Pending
145,Cat,Persian,3,Female,Injured,Anuradhapura,2026-06-20,Rescued
146,Dog,Mixed Breed,4,Female,Injured,Batticaloa,2026-01-16,Released
147,Cat,Persian,6,Male,Sick,Anuradhapura,2026-01-30,Rescued
148,Cat,British Shorthair,7,Female,Healthy,Batticaloa,2026-01-27,Rescued
149,Cat,Siamese,6,Male,Sick,Ratnapura,2026-01-27,Released
150,Dog,Labrador,6,Female,Sick,Negombo,2026-05-29,Pending
151,Cat,Domestic Short Hair,5,Female,Critical,Negombo,2026-01-28,Rescued
152,Cat,Domestic Short Hair,7,Female,Critical,Negombo,2026-01-03,Rescued
153,Cat,Siamese,1,Female,Healthy,Matara,2026-04-29,Pending
154,Cat,Persian,12,Male,Injured,Jaffna,2026-04-03,Under Treatment
155,Dog,Golden Retriever,9,Male,Critical,Ratnapura,2026-05-05,Rescued
156,Dog,Beagle,10,Male,Injured,Ratnapura,2026-04-23,Pending
157,Dog,Beagle,6,Male,Injured,Ratnapura,2026-06-14,Under Treatment
158,Cat,Persian,1,Male,Injured,Batticaloa,2026-04-03,Rescued
159,Cat,Siamese,10,Male,Healthy,Negombo,2026-03-25,Pending
160,Cat,British Shorthair,6,Male,Critical,Jaffna,2026-04-15,Rescued
161,Dog,Labrador,5,Male,Injured,Kandy,2026-04-21,Under Treatment
162,Dog,Mixed Breed,3,Female,Healthy,Jaffna,2026-03-16,Rescued
163,Cat,British Shorthair,3,Female,Healthy,Anuradhapura,2026-06-05,Under Treatment
164,Cat,Persian,6,Female,Critical,Galle,2026-02-24,Released
165,Dog,Beagle,13,Female,Sick,Batticaloa,2026-05-05,Under Treatment
166,Cat,Mixed Breed,8,Male,Sick,Kandy,2026-04-25,Released
167,Cat,Mixed Breed,7,Male,Critical,Negombo,2026-03-07,Released
168,Cat,Persian,4,Female,Injured,Anuradhapura,2026-03-28,Rescued
169,Dog,Beagle,13,Male,Sick,Kurunegala,2026-05-06,Pending
170,Dog,Mixed Breed,4,Male,Critical,Colombo,2026-06-19,Under Treatment
171,Dog,Labrador,1,Female,Critical,Jaffna,2026-06-21,Rescued
172,Dog,Husky,4,Male,Healthy,Matara,2026-06-03,Released
173,Dog,Rottweiler,11,Female,Injured,Kurunegala,2026-02-17,Under Treatment
174,Dog,Golden Retriever,2,Male,Critical,Ratnapura,2026-05-17,Rescued
175,Dog,German Shepherd,4,Female,Injured,Galle,2026-04-28,Pending
176,Dog,Husky,8,Female,Critical,Ratnapura,2026-05-02,Released
177,Cat,Mixed Breed,9,Female,Injured,Batticaloa,2026-02-26,Released
178,Dog,Rottweiler,8,Female,Sick,Ratnapura,2026-01-07,Pending
179,Dog,Rottweiler,9,Male,Sick,Jaffna,2026-03-02,Under Treatment
180,Cat,Domestic Short Hair,10,Female,Critical,Ratnapura,2026-02-10,Under Treatment
181,Dog,Labrador,2,Male,Sick,Galle,2026-06-15,Released
182,Dog,Mixed Breed,4,Female,Healthy,Negombo,2026-04-24,Under Treatment
183,Dog,Husky,12,Female,Sick,Kurunegala,2026-02-24,Pending
184,Cat,Domestic Short Hair,12,Male,Healthy,Negombo,2026-06-01,Pending
185,Cat,British Shorthair,5,Female,Critical,Jaffna,2026-04-01,Released
186,Cat,Domestic Short Hair,5,Male,Injured,Galle,2026-06-21,Rescued
187,Dog,German Shepherd,14,Male,Healthy,Ratnapura,2026-05-28,Pending
188,Dog,Husky,5,Female,Injured,Kandy,2026-05-13,Pending
189,Dog,Beagle,9,Female,Injured,Kandy,2026-01-30,Rescued
190,Cat,Persian,8,Male,Critical,Ratnapura,2026-02-10,Pending
191,Cat,Persian,8,Female,Healthy,Kurunegala,2026-02-18,Released
192,Dog,Golden Retriever,6,Female,Injured,Kurunegala,2026-06-16,Released
193,Cat,Persian,4,Male,Sick,Colombo,2026-05-26,Rescued
194,Dog,Mixed Breed,13,Female,Critical,Anuradhapura,2026-05-07,Under Treatment
195,Cat,British Shorthair,7,Male,Injured,Kandy,2026-04-04,Under Treatment
196,Cat,Siamese,15,Female,Injured,Ratnapura,2026-05-03,Pending
197,Cat,Domestic Short Hair,7,Female,Critical,Batticaloa,2026-04-02,Rescued
198,Dog,Labrador,9,Female,Sick,Colombo,2026-04-06,Pending
199,Cat,Domestic Short Hair,14,Female,Critical,Jaffna,2026-06-09,Rescued
200,Dog,Husky,12,Male,Critical,Ratnapura,2026-06-23,Pending
201,Cat,Persian,7,Male,Healthy,Galle,2026-02-10,Pending
202,Cat,Mixed Breed,11,Male,Critical,Anuradhapura,2026-05-22,Rescued
203,Cat,Domestic Short Hair,15,Female,Sick,Jaffna,2026-04-24,Under Treatment
204,Dog,Mixed Breed,11,Male,Injured,Ratnapura,2026-06-20,Pending
205,Cat,Siamese,15,Female,Sick,Anuradhapura,2026-02-07,Under Treatment
206,Dog,German Shepherd,15,Male,Injured,Kandy,2026-06-06,Released
207,Cat,Mixed Breed,3,Female,Injured,Batticaloa,2026-03-20,Rescued
208,Dog,Golden Retriever,8,Female,Healthy,Ratnapura,2026-04-06,Under Treatment
209,Dog,Labrador,5,Female,Healthy,Ratnapura,2026-06-30,Under Treatment
210,Dog,Husky,6,Male,Sick,Anuradhapura,2026-02-20,Under Treatment
211,Dog,Labrador,2,Male,Injured,Colombo,2026-06-21,Pending
212,Cat,Domestic Short Hair,14,Male,Healthy,Kandy,2026-04-02,Pending
213,Dog,Beagle,8,Female,Sick,Matara,2026-02-15,Released
214,Cat,Persian,10,Female,Healthy,Kandy,2026-02-01,Pending
215,Cat,Domestic Short Hair,7,Male,Injured,Colombo,2026-01-24,Rescued
216,Cat,Siamese,14,Male,Injured,Negombo,2026-02-11,Released
217,Cat,Mixed Breed,9,Male,Critical,Jaffna,2026-04-03,Under Treatment
218,Cat,Domestic Short Hair,11,Female,Critical,Anuradhapura,2026-04-08,Rescued
219,Dog,Husky,15,Female,Critical,Anuradhapura,2026-04-08,Pending
220,Cat,Siamese,4,Female,Healthy,Kandy,2026-06-18,Pending
221,Cat,Domestic Short Hair,7,Female,Sick,Ratnapura,2026-02-18,Rescued
222,Dog,Labrador,8,Female,Critical,Jaffna,2026-05-28,Under Treatment
223,Dog,Golden Retriever,1,Male,Sick,Colombo,2026-05-13,Rescued
224,Dog,Rottweiler,3,Male,Critical,Anuradhapura,2026-06-29,Rescued
225,Cat,Mixed Breed,12,Male,Sick,Batticaloa,2026-02-06,Released
226,Cat,Siamese,12,Female,Critical,Kandy,2026-03-25,Under Treatment
227,Cat,Domestic Short Hair,9,Male,Sick,Negombo,2026-01-31,Under Treatment
228,Dog,German Shepherd,12,Female,Injured,Matara,2026-05-12,Released
229,Cat,British Shorthair,6,Male,Injured,Anuradhapura,2026-03-18,Pending
230,Cat,Persian,2,Male,Injured,Anuradhapura,2026-03-19,Released
231,Dog,Golden Retriever,13,Male,Sick,Batticaloa,2026-06-19,Under Treatment
232,Dog,Husky,1,Female,Healthy,Jaffna,2026-03-21,Under Treatment
233,Dog,Beagle,9,Female,Healthy,Matara,2026-02-13,Rescued
234,Dog,Mixed Breed,1,Male,Critical,Kurunegala,2026-06-17,Under Treatment
235,Dog,German Shepherd,14,Male,Critical,Matara,2026-02-07,Under Treatment
236,Cat,British Shorthair,4,Male,Critical,Galle,2026-02-16,Pending
237,Dog,Beagle,1,Female,Injured,Kandy,2026-05-09,Pending
238,Dog,Mixed Breed,11,Male,Healthy,Colombo,2026-02-25,Pending
239,Dog,Golden Retriever,5,Male,Critical,Negombo,2026-06-26,Pending
240,Dog,Beagle,15,Male,Sick,Matara,2026-02-03,Pending
241,Dog,Golden Retriever,13,Male,Critical,Negombo,2026-03-24,Released
242,Dog,Beagle,11,Male,Injured,Colombo,2026-04-02,Under Treatment
243,Dog,German Shepherd,8,Female,Healthy,Ratnapura,2026-04-15,Rescued
244,Cat,Domestic Short Hair,3,Female,Healthy,Negombo,2026-01-03,Pending
245,Dog,Golden Retriever,14,Female,Critical,Kandy,2026-05-17,Released
246,Cat,British Shorthair,7,Female,Sick,Negombo,2026-05-31,Released
247,Cat,Domestic Short Hair,10,Male,Injured,Kurunegala,2026-05-13,Under Treatment
248,Cat,Domestic Short Hair,8,Male,Injured,Batticaloa,2026-05-23,Rescued
249,Dog,Husky,3,Male,Healthy,Kandy,2026-04-18,Under Treatment
250,Dog,Beagle,1,Male,Critical,Ratnapura,2026-03-28,Rescued
251,Dog,Labrador,6,Male,Sick,Batticaloa,2026-04-16,Rescued
252,Dog,Husky,11,Male,Injured,Kurunegala,2026-05-05,Rescued
253,Cat,Domestic Short Hair,9,Male,Healthy,Kurunegala,2026-06-15,Rescued
254,Cat,Domestic Short Hair,7,Female,Injured,Colombo,2026-03-24,Pending
255,Cat,British Shorthair,13,Female,Healthy,Jaffna,2026-01-31,Rescued
256,Dog,Golden Retriever,4,Male,Injured,Anuradhapura,2026-05-30,Rescued
257,Cat,Siamese,7,Male,Sick,Negombo,2026-05-14,Pending
258,Cat,British Shorthair,6,Male,Healthy,Negombo,2026-04-28,Under Treatment
259,Cat,Domestic Short Hair,11,Male,Injured,Batticaloa,2026-06-23,Under Treatment
260,Cat,Persian,9,Male,Sick,Kandy,2026-03-18,Under Treatment
261,Cat,British Shorthair,11,Female,Injured,Negombo,2026-01-10,Under Treatment
262,Cat,Siamese,1,Female,Critical,Kandy,2026-02-23,Released
263,Dog,German Shepherd,13,Male,Injured,Kandy,2026-06-24,Under Treatment
264,Dog,Mixed Breed,9,Female,Sick,Kandy,2026-04-08,Released
265,Cat,Domestic Short Hair,13,Female,Injured,Ratnapura,2026-01-04,Pending
266,Cat,British Shorthair,13,Female,Healthy,Negombo,2026-05-09,Rescued
267,Dog,Husky,13,Male,Healthy,Negombo,2026-04-18,Released
268,Dog,Golden Retriever,9,Male,Critical,Anuradhapura,2026-01-10,Under Treatment
269,Dog,Labrador,14,Male,Injured,Colombo,2026-04-10,Pending
270,Cat,Domestic Short Hair,5,Male,Critical,Negombo,2026-05-06,Rescued
271,Dog,Golden Retriever,3,Female,Healthy,Kandy,2026-01-14,Released
272,Dog,Rottweiler,13,Female,Critical,Kandy,2026-05-09,Released
273,Cat,British Shorthair,6,Male,Critical,Anuradhapura,2026-03-24,Released
274,Dog,German Shepherd,1,Female,Critical,Kurunegala,2026-01-23,Rescued
275,Dog,Husky,3,Male,Healthy,Kandy,2026-06-11,Rescued
276,Dog,Beagle,15,Male,Injured,Batticaloa,2026-06-20,Released
277,Dog,Mixed Breed,7,Female,Injured,Ratnapura,2026-06-27,Rescued
278,Cat,British Shorthair,15,Male,Critical,Negombo,2026-05-15,Pending
279,Dog,Rottweiler,9,Female,Sick,Galle,2026-05-20,Under Treatment
280,Cat,Siamese,4,Male,Sick,Kandy,2026-05-31,Released
281,Cat,British Shorthair,4,Female,Sick,Colombo,2026-06-02,Under Treatment
282,Dog,Mixed Breed,11,Female,Injured,Colombo,2026-05-14,Under Treatment
283,Dog,Husky,15,Female,Sick,Jaffna,2026-01-17,Rescued
284,Cat,Siamese,14,Female,Sick,Ratnapura,2026-06-08,Rescued
285,Dog,Husky,1,Female,Healthy,Jaffna,2026-02-19,Under Treatment
286,Dog,Labrador,1,Male,Injured,Kurunegala,2026-02-11,Under Treatment
287,Cat,Siamese,8,Male,Injured,Ratnapura,2026-03-09,Under Treatment
288,Cat,Siamese,6,Female,Healthy,Anuradhapura,2026-02-18,Released
289,Dog,Mixed Breed,15,Male,Healthy,Anuradhapura,2026-01-28,Released
290,Dog,Beagle,14,Female,Critical,Batticaloa,2026-05-14,Rescued
291,Dog,Labrador,13,Female,Critical,Negombo,2026-02-06,Under Treatment
292,Dog,Beagle,13,Female,Sick,Anuradhapura,2026-04-26,Released
293,Dog,Labrador,3,Female,Sick,Colombo,2026-05-21,Released
294,Dog,Golden Retriever,11,Male,Healthy,Batticaloa,2026-02-04,Released
295,Dog,Labrador,7,Male,Injured,Kandy,2026-03-25,Rescued
296,Dog,Husky,7,Male,Critical,Ratnapura,2026-01-24,Released
297,Dog,Rottweiler,7,Female,Healthy,Anuradhapura,2026-03-20,Pending
298,Cat,Mixed Breed,15,Male,Healthy,Kandy,2026-02-21,Under Treatment
299,Dog,Rottweiler,5,Female,Sick,Ratnapura,2026-04-18,Pending
300,Dog,Labrador,4,Male,Sick,Anuradhapura,2026-01-16,Rescued
301,Dog,Beagle,14,Male,Critical,Kurunegala,2026-01-26,Rescued
302,Cat,British Shorthair,1,Male,Injured,Kandy,2026-03-12,Released
303,Cat,Mixed Breed,2,Female,Sick,Anuradhapura,2026-06-28,Under Treatment
304,Cat,British Shorthair,11,Male,Critical,Kurunegala,2026-03-29,Under Treatment
305,Cat,Domestic Short Hair,2,Male,Sick,Kurunegala,2026-06-13,Under Treatment
306,Dog,Beagle,1,Male,Healthy,Anuradhapura,2026-03-26,Rescued
307,Cat,British Shorthair,12,Male,Injured,Kurunegala,2026-05-16,Rescued
308,Cat,Mixed Breed,2,Female,Injured,Negombo,2026-04-18,Rescued
309,Cat,Mixed Breed,3,Male,Healthy,Colombo,2026-01-18,Under Treatment
310,Dog,Husky,10,Female,Critical,Kandy,2026-04-25,Rescued
311,Cat,Domestic Short Hair,1,Female,Injured,Kurunegala,2026-02-14,Released
312,Dog,Husky,1,Male,Critical,Galle,2026-05-07,Pending
313,Dog,Golden Retriever,1,Male,Sick,Jaffna,2026-05-06,Rescued
314,Dog,Golden Retriever,2,Male,Injured,Kandy,2026-03-11,Released
315,Dog,Mixed Breed,14,Female,Healthy,Kandy,2026-03-14,Pending
316,Dog,Beagle,14,Female,Healthy,Kurunegala,2026-03-24,Pending
317,Cat,Persian,5,Male,Injured,Galle,2026-01-03,Pending
318,Cat,Mixed Breed,2,Male,Sick,Colombo,2026-05-26,Rescued
319,Cat,Persian,11,Female,Critical,Kurunegala,2026-06-22,Under Treatment
320,Cat,British Shorthair,9,Female,Healthy,Batticaloa,2026-01-07,Pending
321,Dog,German Shepherd,7,Male,Sick,Batticaloa,2026-02-15,Rescued
322,Dog,German Shepherd,1,Female,Healthy,Colombo,2026-05-03,Under Treatment
323,Cat,Persian,2,Female,Sick,Ratnapura,2026-04-12,Under Treatment
324,Dog,Mixed Breed,5,Female,Critical,Ratnapura,2026-05-26,Rescued
325,Cat,Domestic Short Hair,3,Male,Sick,Kandy,2026-02-16,Pending
326,Cat,Mixed Breed,13,Female,Injured,Kandy,2026-06-16,Released
327,Dog,Labrador,15,Female,Critical,Kurunegala,2026-05-13,Rescued
328,Cat,Persian,2,Female,Critical,Jaffna,2026-03-20,Rescued
329,Dog,Husky,7,Male,Injured,Colombo,2026-03-09,Under Treatment
330,Dog,Husky,1,Male,Sick,Colombo,2026-04-20,Under Treatment
331,Cat,Siamese,1,Female,Sick,Ratnapura,2026-01-21,Pending
332,Cat,Domestic Short Hair,5,Female,Sick,Jaffna,2026-05-10,Pending
333,Dog,Rottweiler,10,Female,Critical,Batticaloa,2026-02-10,Released
334,Dog,Husky,5,Male,Critical,Jaffna,2026-01-25,Pending
335,Dog,German Shepherd,7,Female,Sick,Kurunegala,2026-05-03,Rescued
336,Cat,Persian,9,Female,Critical,Anuradhapura,2026-06-26,Released
337,Dog,Labrador,2,Male,Injured,Matara,2026-02-04,Under Treatment
338,Cat,Siamese,15,Male,Sick,Negombo,2026-06-18,Pending
339,Dog,Labrador,3,Male,Sick,Colombo,2026-05-10,Rescued
340,Cat,Mixed Breed,8,Female,Sick,Ratnapura,2026-04-23,Released
341,Cat,Siamese,6,Male,Sick,Kandy,2026-01-25,Pending
342,Dog,Rottweiler,5,Female,Healthy,Kandy,2026-03-29,Pending
343,Cat,Persian,10,Male,Injured,Negombo,2026-04-11,Rescued
344,Cat,Persian,15,Male,Healthy,Ratnapura,2026-01-09,Released
345,Cat,Mixed Breed,15,Male,Healthy,Batticaloa,2026-05-22,Rescued
346,Cat,Siamese,12,Female,Sick,Kandy,2026-01-06,Pending
347,Cat,British Shorthair,1,Male,Healthy,Ratnapura,2026-02-20,Pending
348,Dog,Labrador,14,Female,Injured,Matara,2026-05-23,Released
349,Dog,Mixed Breed,6,Female,Injured,Negombo,2026-05-11,Pending
350,Cat,British Shorthair,11,Female,Critical,Jaffna,2026-01-12,Rescued
351,Cat,Mixed Breed,3,Female,Critical,Kandy,2026-05-23,Rescued
352,Dog,Mixed Breed,13,Female,Healthy,Jaffna,2026-01-31,Pending
